directorio,secuencia_p,orden,formal,estrato1,sex,age,fweight,maxeduclevel,y_salary_m_hu,y_total_m,p6585s1,p6585s2,p6585s3,p6585s4
4521301,1,2,1.0,1.0,1.0,37.0,189.0,6.0,3586.12426757812,820857,0,1,0,0
4521302,1,1,0.0,1.0,1.0,25.0,263.0,4.0,4666.66650390625,1e+06,0,0,0,0
4521303,1,2,0.0,2.0,0.0,28.0,293.0,7.0,4666.66650390625,3e+05,0,0,0,0
4521307,1,2,1.0,2.0,1.0,27.0,209.0,7.0,3888.88891601562,8e+05,0,1,0,0
4521307,1,3,0.0,2.0,0.0,19.0,209.0,7.0,3586.12426757812,737717,0,0,0,0
4521308,1,2,1.0,3.0,0.0,37.0,329.0,6.0,3586.12426757812,800217,0,1,0,0
4521309,1,1,1.0,1.0,1.0,23.0,247.0,6.0,5833.33349609375,1200000,0,0,0,0
4521310,1,2,1.0,3.0,0.0,48.0,170.0,5.0,3586.12426757812,820857,0,1,0,0
4521311,1,2,1.0,3.0,0.0,47.0,197.0,6.0,3586.12426757812,882333.4375,0,1,0,0
4521312,1,1,0.0,3.0,1.0,33.0,395.0,6.0,2916.66674804688,6e+05,0,0,0,0
4521312,1,2,0.0,3.0,0.0,33.0,395.0,6.0,2430.5556640625,5e+05,0,0,0,0
4521312,1,5,0.0,3.0,1.0,47.0,395.0,5.0,3159.72216796875,650000,0,0,0,0
4521313,1,1,1.0,2.0,0.0,54.0,239.0,4.0,4083.33325195312,729000,0,0,1,0
4521315,1,1,1.0,2.0,1.0,35.0,286.0,6.0,5347.22216796875,1183140,0,1,0,0
